Start	End
350	382.5
382.5	407.5
407.5	428.5
428.5	447.5
447.5	466.5
466.5	483.5
483.5	502.5
502.5	520.5
520.5	538.5
538.5	556.5
556.5	574.5
574.5	593.5
593.5	613.5
613.5	633.5
633.5	655.5
655.5	677.5
677.5	700.5
700.5	725.5
725.5	755.5
755.5	786.5
786.5	822.5
822.5	861.5
861.5	913.5
913.5	978.5
978.5	1076.5
1076.5	1650
